;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
138.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
139.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
140.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
141.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
142.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;;
143.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
144.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
145.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
146.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
147.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
148.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
149.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
150.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
151.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
152.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
153.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
154.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
155.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;;
156.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
157.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
158.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
159.0;15.0;ruský, øíct, rozhovor, uvést, premiér, zpìvaèka, ¹éf, ministr, funkce, pochlubit;;
160.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
161.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
162.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
163.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
164.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
165.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
166.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
167.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
168.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
169.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
170.0;12.0;byt, prodej, procent, lokalita, hypotéka, rùst, bydlení, èeský, prùmìr, pøípad;;
171.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
172.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
173.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
174.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
175.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
176.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
177.0;12.0;byt, prodej, procent, lokalita, hypotéka, rùst, bydlení, èeský, prùmìr, pøípad;;
178.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
179.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
180.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
181.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
182.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
183.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
184.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
185.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
